Commodity,Production Volume (kg),World Share (%),GWP100 (kg CO2-Eq) Impact,Total HH (DALY) Impact,Total EQ (PDF.m2.yr) Impact,,,MtCO2eq
Aluminium,3033966000,4.408192891,28046659759,267378.8732,19622220404,,,2.804665976
Antimony,2000,0.002408739,37949.6911,3.114829147,235607.5201,,,3.79497E-06
Cadmium,1800000,7.825066296,5280014.314,95.22004871,6761877.57,,,0.000528001
Cobalt,3063000,1.844847317,92110649.78,845.3902524,84389192.28,,,0.009211065
Copper,510782000,2.298189325,2481800776,115403.4302,20100848674,,,0.248180078
Fluorspar,20000000,0.216534182,3691907.172,33.91971184,3481382.428,,,0.000369191
Gold,205831,6.193863402,4517863227,45871.18377,11195956728,,,0.451786323
Graphite,13000000,0.75253866,840538.6367,6.515235215,790935.2742,,,8.40539E-05
Indium,39000,3.869047619,4767476.407,71.84764091,5854181.069,,,0.000476748
Iron (Fe),42073900000,2.718035435,331916142.9,4299.927729,2048682790,,,0.033191614
Lead,8247000,0.175694245,8603522.038,343.6629345,11491541.43,,,0.000860352
Molybdenum,1146000,0.431703458,17296128.86,195.1462638,102106170.9,,,0.001729613
Nickel,143266000,4.409682551,2059342377,17026.63949,5212311849,,,0.205934238
Niobium (Nb2O5),6800000,5.752523074,79422286.88,2720.226841,59062606.82,,,0.007942229
Palladium,16099,7.969328555,104326525.3,897.5447185,797434928.5,,,0.010432653
Platinum,5490,2.999639388,251150829.8,2048.855114,1923935920,,,0.025115083
Potash (K2O),15116101000,36.02715728,520924731.6,4088.068315,573874631.4,,,0.052092473
Rhodium,500,2.199639259,22628963.87,187.3861579,202905256.4,,,0.002262896
Selenium,110000,2.945113788,327630.2629,11.15954858,1446650.816,,,3.2763E-05
Silver,334480,1.258184424,132036414.4,1228.899502,315632861.5,,,0.013203641
Tellurium,24000,3.524229075,171424.8239,2.874050612,348222.6489,,,1.71425E-05
Titanium (TiO2),540000000,6.038246252,19225567793,181278.619,14970641459,,,1.922556779
Uranium (U3O8),6168000,11.01979561,828233482.4,14651.61654,9554083819,,,0.082823348
Zinc,208147000,1.630980728,406993200.6,7794.383564,557166904.5,,,0.04069932
,,,,,,,,
,61687123400,116.5106416,59141993752,666484.5047,87351664594,,,5.914199375
