Raw material,"Climate change, ecosystem quality, long term (PDF.m2.yr)","Climate change, ecosystem quality, short term (PDF.m2.yr)","Climate change, human health, long term (DALY)","Climate change, human health, short term (DALY)","Marine acidification, long term (PDF.m2.yr)","Marine acidification, short term (PDF.m2.yr)",Photochemical oxidant formation (DALY),"Freshwater ecotoxicity, short term (PDF.m2.yr)","Human toxicity cancer, short term (DALY)","Human toxicity non-cancer, short term (DALY)","Freshwater ecotoxicity, long term (PDF.m2.yr)","Human toxicity cancer, long term (DALY)","Human toxicity non-cancer, long term (DALY)",Marine eutrophication (PDF.m2.yr),Ozone layer depletion (DALY),Freshwater acidification (PDF.m2.yr),Particulate matter formation (DALY),Terrestrial acidification (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),"Ionizing radiation, ecosystem quality (PDF.m2.yr)","Ionizing radiation, human health (DALY)","Land occupation, biodiversity (PDF.m2.yr)","Land transformation, biodiversity (PDF.m2.yr)",Thermally polluted water (PDF.m2.yr),"Water availability, freshwater ecosystem (PDF.m2.yr)","Water availability, human health (DALY)","Water availability, terrestrial ecosystem (PDF.m2.yr)",Total human health (DALY),Total ecosystem quality (PDF.m2.yr),Carbon footprint (kg CO2 eq (short)),Energetic resource depletion (MJ deprived),Water footprint - Scarcity (m3 world-eq),Human health (residual) (DALY),Ecosystem quality (residual) (PDF.m2.yr)
"Lithium hydroxide, brine",4.419751939426179,1.3648373750762308,2.0121126174146932e-05,6.307770850205949e-06,1.0652745472627778,0.11567084311583048,9.785366812577808e-10,0.15562729483578924,7.948692121201399e-07,5.598733126824951e-07,0.48923318460245596,2.0212805035433358e-08,6.1532551017357e-07,0.008882926753073136,4.853559741261888e-10,0.04389266115999828,5.265051846535016e-06,0.31438119655116326,0.0006698348014528542,1.4700104295860199e-10,2.3284382437795196e-09,0.059966736847224374,0.09925043704211023,8.677581677066352e-06,2.4621843587910308e-05,9.076888097360632e-06,7.005320106542339e-05,4.276491014678328e-05,8.137542282430195,7.58789280860142,105.50920530582181,3.07169965334856,8.832565188287584e-06,0.9837603474975032
"Lithium hydroxide, spodumene",9.5673393022769,3.0384005660682454,4.3550838142885534e-05,1.4042473193276457e-05,2.3005877651426863,0.2498622252313847,2.6293641353419606e-09,0.7444267168110572,1.560737149301009e-06,2.7002314342890596e-06,2.5305888588465497,9.604154407259667e-08,3.046468154328785e-06,0.018940094392407295,3.0059451488938127e-09,0.239193602395547,1.991960551783207e-05,1.5285635831580944,0.0009666775056748637,6.376063342559923e-10,1.0508275132316367e-08,0.15484559890327526,0.3579705452191817,1.7178514430221363e-05,2.8392510271231866e-05,8.891964757402025e-06,0.0009515474860040446,9.38245036076861e-05,20.7326824898133,16.81281802969567,159.01158592016296,3.542109413799608,3.556296808419527e-05,3.861505343370793
Cobalt,7.925216967949614,2.5100541779170813,3.607625145280702e-05,1.160080814864955e-05,1.8960270079028982,0.20606610619478793,3.2016016497214195e-09,0.4558829969850273,3.11327402484805e-06,3.096217258815307e-06,1.3590158317977292,8.976954445833067e-08,2.8215853090550065e-06,0.04168054231049967,1.015901365745705e-08,0.2539518567596222,2.35350315718562e-05,1.6265006774796424,0.0027727947085214623,1.3098754189977027e-09,2.0578561441912356e-08,0.2167730778635977,0.4413453422166158,3.2688646704277284e-05,7.255336437371473e-05,2.5558419561762247e-05,0.00024832705876813826,0.00010592529593964062,16.93564081462434,13.897971987895582,178.01400383794635,9.05139955911909,3.7151154548047087e-05,3.8842109966078473
Nickel,3.059637317849496,0.95465351114859,1.3928585092400383e-05,4.412106988848337e-06,0.7344550931875973,0.07981842320838292,1.7008059817237176e-09,0.25944366146687264,1.0503561228111317e-06,1.231532522050385e-06,0.9193184441519706,1.4509543452179596e-07,2.356264196994488e-06,0.005180359706457913,3.495148143139102e-10,0.8711362477174424,2.6590554737761597e-05,5.212749024273088,0.00014671368724862387,5.781322344958761e-10,8.768147589679623e-09,0.07515143998941502,0.16517929947443377,8.5402485598028e-06,5.420926924875301e-06,1.9135932015656477e-06,0.00014813484430914545,5.1638906064605406e-05,12.337031339203964,5.29857318567434,59.364598781720204,0.6762880812117373,3.866646783619923e-05,10.583161102238396
"Graphite, natural",5.661396709013143,1.9185785215848357,2.5763481206375447e-05,8.867881467134398e-06,1.344672733249213,0.1460412141452238,1.5533971660538235e-09,0.7278715467008727,1.1766776765301673e-06,1.6724420867153607e-06,0.8390818235694582,4.7586987295775515e-08,1.479921543159158e-06,0.0316504382260046,3.083397047833915e-10,0.0996413720624517,8.402271547756078e-06,0.6596422637031932,0.0055658578844028,5.33895968892811e-10,9.928391878161665e-09,0.14064685563101043,0.309425181626102,1.836048886924939e-05,-1.1840688163400337e-05,-3.4157222745072324e-06,0.0014895203963026127,4.400633033688553e-05,11.885710443991352,10.514082705598085,110.8054076105906,-1.477185800379175,1.7372362801779283e-05,2.416909913545387
"Graphite, synthetic",23.04568616668213,7.847040348627749,0.00010487353876168767,3.626691921160603e-05,5.512950794596983,0.5986949874233434,5.867590256830101e-09,3.1009064657328693,3.535564681731463e-06,4.754047871710748e-06,2.4006316285252107,1.3556010878887193e-07,3.916717948761039e-06,0.035427830659919696,1.1482924521095028e-09,0.31931912606697993,2.9899816525491155e-05,2.099578634691702,0.0004160067265629243,1.933551947228387e-09,3.7336406557793193e-08,0.2829960440475956,0.7026305774455477,6.913442622311911e-05,3.2592948623552664e-05,1.1293831286660061e-05,0.001061251028901832,0.00019472034841876845,45.94744113203279,42.920724365985336,583.1051068544991,4.066135365985247,6.132004860870795e-05,8.118143209042264
"Lithium carbonate, brine",2.0182009660182323,0.6400615686114401,9.186964359069166e-06,2.9581800493259864e-06,0.4857375742682392,0.05275291249223401,4.662671442918454e-10,0.10437363104448609,5.38635420693861e-07,4.0915900386360915e-07,0.30550808758804826,1.3743615602863518e-08,4.3653216192932237e-07,0.005970656569472668,3.564071701810416e-10,0.0263131736548596,2.3142029278689376e-06,0.1920786596339458,0.0006023709059447814,1.1353342686511821e-10,1.8110343643288894e-09,0.05012466463897669,0.0668204969028835,6.144071321439562e-06,2.2513727164649288e-05,8.325806960456355e-06,4.286251442933808e-05,2.4185858218888018e-05,3.948616255746986,3.542348538879163,58.3772273121788,2.8087014556954273,4.42975727409531e-06,0.5958836424743772
"Lithium carbonate, spodumene",13.682334198046593,4.302722595517803,6.228490090077305e-05,1.9885661320064537e-05,3.295984748187683,0.35788966594459043,3.486638782679667e-09,0.933173056257563,1.9558513696726016e-06,3.3076543306372613e-06,4.0482197938286175,1.2552496589894814e-07,3.99982627352653e-06,0.030002987623879124,2.6362082219537963e-10,0.3590345756454553,2.8904687766771635e-05,2.293030942722091,0.0027368179349817395,3.9044913093974204e-10,6.2299299267437734e-09,0.21076898413386305,0.4489602629820646,1.2879081184528912e-05,2.5309138203597273e-05,8.017394062793167e-06,0.0015826310823521064,0.00012849148149487446,29.96647921337376,23.848096822364205,208.54241131093565,3.157443136582515,5.1441762894070464e-05,5.382430116047205
Neodymium,30.593529079838085,9.952761917401137,0.0001392490330901929,4.6001009785283175e-05,7.304622142615008,0.7954137360358449,7.771491275071026e-09,1.9659833968145288,2.600468963057068e-05,3.121425452253008e-05,19.339273720305776,6.127512108566444e-07,2.0606067382313768e-05,23.889935622775564,1.2942894890965428e-08,0.6809804185464117,3.8921026760366996e-05,4.5115773035034845,0.08655630532992598,2.2897224538911495e-07,1.2981633898174075e-06,11.432633828631982,25.246883602330172,0.000111234859241144,-1.864382814197041e-05,-6.679309891244323e-05,0.020806686489507172,0.0002371346118672825,135.82105009151078,54.91125066267175,667.7484620649736,-2.325911958481811,0.00012018907626466964,67.2476086373068
"Copper concentrate, Canada",0.6733885250095589,0.22127443874308264,3.06493232771242e-06,1.022847909061866e-06,0.1581544401131897,0.01745294556989073,9.303096083477447e-10,0.03598162402378214,2.3691888464887127e-06,5.238507779736048e-07,8.200080976196151,1.584515848450058e-08,4.9658998950413e-07,0.011575637669497159,5.3279799228039435e-11,0.030617053928101753,2.2000192529821153e-06,0.2574543391947511,0.0001390489081586869,1.3585268742302006e-09,1.3427568880948414e-08,0.5299849467727693,1.2770370389145471,4.001228136244623e-06,3.8198190003928094e-05,1.497680346568362e-05,3.832236439479374e-05,2.4684488972944677e-05,11.413221525102353,1.223529484206089,18.42921633344341,4.765417608745224,5.952835671008987e-06,2.395864480562816
"Market for copper, cathode",3.8925804231405103,1.245994155272694,1.7718435055821818e-05,5.759102668589684e-06,0.9244697169202803,0.10057810105562613,4.1388926939040135e-09,0.7431976683429188,1.1860436294710185e-05,9.415773734886914e-05,23.93080384233992,2.209082881419232e-06,7.681465054726933e-05,0.0316403622168972,2.0394592972526028e-10,0.9546346019496923,3.077929204368091e-05,5.906881380460283,0.0007972152511111446,1.4885628691416355e-09,1.923115487003407e-08,0.6328111142204187,1.4791525085811252,1.542875467262781e-05,6.024350845624388e-05,2.3337705437052533e-05,0.00023049212307834377,0.00026266001367550654,39.84384703125016,6.894241609428029,90.09391931774542,7.515682705930885,0.0001511533272418294,15.604963332222997
