Activity,Flow Name,Flow Location,LCIA Method,Unit,Absolute Contribution,Percentage Contribution
Cobalt oxide,cobalt production,RoW,Total EQ,PDF.m2.yr,27.047300264796057,98.17119760809818
Cobalt oxide,cobalt production,CN,Total EQ,PDF.m2.yr,0.33254953666589,1.207025690508588
Cobalt oxide,cobalt production,BE,Total EQ,PDF.m2.yr,0.11444173534919468,0.41537906207232245
Cobalt oxide,"market group for transport, freight, lorry, unspecified",GLO,Total EQ,PDF.m2.yr,0.018731756735371502,0.06798900348691958
Cobalt oxide,"market group for transport, freight train",GLO,Total EQ,PDF.m2.yr,0.01581790287275142,0.05741284540282723
Cobalt oxide,"market for transport, freight, sea, container ship",GLO,Total EQ,PDF.m2.yr,0.011947776254306318,0.04336578853178539
Cobalt oxide,"market group for transport, freight, inland waterways, barge",GLO,Total EQ,PDF.m2.yr,0.010360549243790205,0.03760477079719474
Cobalt oxide,cobalt production,ZA,Total EQ,PDF.m2.yr,7.125816083663077e-06,2.5863945459235543e-05
Cobalt oxide,cobalt production,RoW,Total HH,DALY,0.0002710090347578611,98.19141764356942
Cobalt oxide,cobalt production,CN,Total HH,DALY,3.333706105079108e-06,1.2078613126577498
Cobalt oxide,cobalt production,BE,Total HH,DALY,1.0618333845362925e-06,0.38472121574117973
Cobalt oxide,"market group for transport, freight, lorry, unspecified",GLO,Total HH,DALY,1.9612221272248405e-07,0.07105858340044066
Cobalt oxide,"market group for transport, freight train",GLO,Total HH,DALY,1.5837822325482531e-07,0.05738326133354097
Cobalt oxide,"market for transport, freight, sea, container ship",GLO,Total HH,DALY,1.2329837891666212e-07,0.0446732066692838
Cobalt oxide,"market group for transport, freight, inland waterways, barge",GLO,Total HH,DALY,1.1829254705197389e-07,0.04285950430427498
Cobalt oxide,cobalt production,ZA,Total HH,DALY,7.150321055090817e-11,2.59068913194476e-05
Copper,"electrorefining of copper, anode",CA,Total EQ,PDF.m2.yr,14.342038764163123,36.44450720828791
Copper,"electrorefining of copper, anode",US,Total EQ,PDF.m2.yr,5.704526066301517,14.495752295878212
Copper,"electrorefining of copper, anode",CD,Total EQ,PDF.m2.yr,4.454736711024039,11.319916704005209
Copper,"copper production, cathode, solvent extraction and electrowinning process",CA,Total EQ,PDF.m2.yr,4.05126931411027,10.294667037836772
Copper,"electrorefining of copper, anode",RU,Total EQ,PDF.m2.yr,2.3615784161458198,6.000999092626952
Copper,"copper production, cathode, solvent extraction and electrowinning process",US,Total EQ,PDF.m2.yr,1.6374579496207016,4.160938973148996
Copper,"copper production, cathode, solvent extraction and electrowinning process",CD,Total EQ,PDF.m2.yr,1.2614390248795921,3.2054385287197014
Copper,"electrorefining of copper, anode",CL,Total EQ,PDF.m2.yr,1.0944214433397588,2.7810307053669487
Copper,"copper production, cathode, solvent extraction and electrowinning process",RU,Total EQ,PDF.m2.yr,0.6868960117084462,1.7454691806164162
Copper,treatment of copper scrap by electrolytic refining,CA,Total EQ,PDF.m2.yr,0.6204496618470601,1.5766225810284522
Copper,"electrorefining of copper, anode",MX,Total EQ,PDF.m2.yr,0.5048918354302538,1.2829789710038686
Copper,"electrorefining of copper, anode",RoW,Total EQ,PDF.m2.yr,0.4416449222099666,1.1222624492692952
Copper,"copper production, cathode, solvent extraction and electrowinning process",CL,Total EQ,PDF.m2.yr,0.31498811248700626,0.8004152495210155
Copper,treatment of copper scrap by electrolytic refining,US,Total EQ,PDF.m2.yr,0.24565997163656142,0.62424574039414
Copper,"electrorefining of copper, anode",ZM,Total EQ,PDF.m2.yr,0.2254200017208142,0.5728140198682458
Copper,treatment of copper scrap by electrolytic refining,CD,Total EQ,PDF.m2.yr,0.2040966989872739,0.5186294459066398
Copper,"copper production, cathode, solvent extraction and electrowinning process",MX,Total EQ,PDF.m2.yr,0.14535395444930493,0.36935845229462766
Copper,"copper production, cathode, solvent extraction and electrowinning process",RoW,Total EQ,PDF.m2.yr,0.12781081941798875,0.3247796499626792
Copper,treatment of copper scrap by electrolytic refining,RU,Total EQ,PDF.m2.yr,0.10834557008206186,0.27531656933658916
Copper,"electrorefining of copper, anode",BR,Total EQ,PDF.m2.yr,0.09328156368976057,0.237037472579319
Copper,"electrorefining of copper, anode",DE,Total EQ,PDF.m2.yr,0.08440937951940372,0.21449239476529347
Copper,"copper production, cathode, solvent extraction and electrowinning process",ZM,Total EQ,PDF.m2.yr,0.06386929223328423,0.1622980469834198
Copper,gold mine operation and refining,CA,Total EQ,PDF.m2.yr,0.06238476897377845,0.1585257298448608
Copper,treatment of copper scrap by electrolytic refining,CL,Total EQ,PDF.m2.yr,0.04725234445946572,0.12007277602432193
